,width,hits_MDM,hits_SYS,hits_COMM_ENERGY,hits_APPS,hits_JOURNAL,hits_EXT,hits_VENDORS,hits_VULN,hits_FLAME,hits_TAMPER_JP,windows,TOTAL
35,108888,2,16,8,7,10,4,4,0,8,0,19,59
44,138888,2,16,8,7,10,4,4,0,8,0,17,59
50,158888,2,16,8,7,10,4,4,0,8,0,17,59
49,155555,2,16,8,7,10,4,4,0,8,0,17,59
48,152222,2,16,8,7,10,4,4,0,8,0,17,59
47,148888,2,16,8,7,10,4,4,0,8,0,17,59
46,145555,2,16,8,7,10,4,4,0,8,0,17,59
45,142222,2,16,8,7,10,4,4,0,8,0,17,59
43,135555,2,16,8,7,10,4,4,0,8,0,17,59
52,165555,2,16,8,7,10,4,4,0,8,0,17,59
42,132222,2,16,8,7,10,4,4,0,8,0,17,59
41,128888,2,16,8,7,10,4,4,0,8,0,17,59
40,125555,2,16,8,7,10,4,4,0,8,0,18,59
39,122222,2,16,8,7,10,4,4,0,8,0,18,59
38,118888,2,16,8,7,10,4,4,0,8,0,18,59
37,115555,2,16,8,7,10,4,4,0,8,0,19,59
51,162222,2,16,8,7,10,4,4,0,8,0,17,59
53,168888,2,16,8,7,10,4,4,0,8,0,17,59
1,555,2,16,8,7,10,4,4,0,8,0,1597,59
62,198888,2,16,8,7,10,4,4,0,8,0,17,59
