file,segment,width,hits_MDM,hits_SYS,hits_COMM_ENERGY,hits_APPS,hits_JOURNAL,hits_EXT,hits_VENDORS,hits_VULN,hits_FLAME,hits_TAMPER_JP,windows
JetsamEvent-2025-06-01-130516.ips,head,222,0,0,0,0,2,0,0,0,0,0,361
JetsamEvent-2025-06-01-130516.ips,mid,222,0,5,0,0,3,0,0,0,1,0,577
JetsamEvent-2025-06-01-130516.ips,tail,222,1,4,3,0,1,2,0,0,2,0,361
JetsamEvent-2025-06-01-130516.ips,raw,222,1,6,4,0,4,2,0,0,2,0,1045
JetsamEvent-2025-06-01-130516.ips,head,555,0,0,0,0,2,0,0,0,0,0,145
JetsamEvent-2025-06-01-130516.ips,mid,555,0,5,0,0,3,0,0,0,1,0,231
JetsamEvent-2025-06-01-130516.ips,tail,555,1,4,4,0,1,2,0,0,2,0,145
JetsamEvent-2025-06-01-130516.ips,raw,555,1,7,4,0,4,2,0,0,2,0,418
JetsamEvent-2025-06-01-130516.ips,head,888,0,0,0,0,2,0,0,0,0,0,91
JetsamEvent-2025-06-01-130516.ips,mid,888,0,5,0,0,3,0,0,0,1,0,145
JetsamEvent-2025-06-01-130516.ips,tail,888,1,4,4,0,1,2,0,0,2,0,91
JetsamEvent-2025-06-01-130516.ips,raw,888,1,6,4,0,4,2,0,0,2,0,262
JetsamEvent-2025-06-01-130516.ips,head,2222,0,0,0,0,2,0,0,0,0,0,37
JetsamEvent-2025-06-01-130516.ips,mid,2222,0,5,0,0,3,0,0,0,1,0,58
JetsamEvent-2025-06-01-130516.ips,tail,2222,1,4,4,0,1,2,0,0,2,0,37
JetsamEvent-2025-06-01-130516.ips,raw,2222,1,7,4,0,4,2,0,0,2,0,105
JetsamEvent-2025-06-01-130516.ips,head,5555,0,0,0,0,2,0,0,0,0,0,15
JetsamEvent-2025-06-01-130516.ips,mid,5555,0,5,0,0,3,0,0,0,1,0,24
JetsamEvent-2025-06-01-130516.ips,tail,5555,1,4,4,0,1,2,0,0,2,0,15
JetsamEvent-2025-06-01-130516.ips,raw,5555,1,7,4,0,4,2,0,0,2,0,42
JetsamEvent-2025-06-01-130516.ips,head,8888,0,0,0,0,2,0,0,0,0,0,10
JetsamEvent-2025-06-01-130516.ips,mid,8888,0,5,0,0,3,0,0,0,1,0,15
JetsamEvent-2025-06-01-130516.ips,tail,8888,1,4,4,0,1,2,0,0,2,0,10
JetsamEvent-2025-06-01-130516.ips,raw,8888,1,7,4,0,4,2,0,0,2,0,27
JetsamEvent-2025-06-01-130516.ips,head,12222,0,0,0,0,2,0,0,0,0,0,7
JetsamEvent-2025-06-01-130516.ips,mid,12222,0,5,0,0,3,0,0,0,1,0,11
JetsamEvent-2025-06-01-130516.ips,tail,12222,1,4,4,0,1,2,0,0,2,0,7
JetsamEvent-2025-06-01-130516.ips,raw,12222,1,7,4,0,4,2,0,0,2,0,19
JetsamEvent-2025-06-01-130516.ips,head,15555,0,0,0,0,2,0,0,0,0,0,6
JetsamEvent-2025-06-01-130516.ips,mid,15555,0,5,0,0,3,0,0,0,1,0,9
JetsamEvent-2025-06-01-130516.ips,tail,15555,1,4,4,0,1,2,0,0,2,0,6
JetsamEvent-2025-06-01-130516.ips,raw,15555,1,7,4,0,4,2,0,0,2,0,15
